zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad
2,1,1,tilt_x,0.0,0.0,0.0
3,1,-1,tilt_y,0.0,1.06783144046589,1.06783144046589
4,2,0,defocus,0.0,0.03722777464566232,0.03722777464566232
5,2,-2,astig_45,0.0,0.0,0.0
6,2,2,astig_0,0.0,0.0,0.0
7,3,-1,coma_y,0.0,0.0,0.0
8,3,1,coma_x,0.0,0.001349950990973528,0.001349950990973528
9,3,-3,trefoil_y,0.0,0.17840716881937713,0.17840716881937713
10,3,3,trefoil_x,0.0,0.0,0.0
11,4,0,spherical,0.0,0.29215646732948,0.29215646732948
12,4,-2,secondary_astig_45,10.0,7.6226265451488,-2.3773734548511998
13,4,2,secondary_astig_0,0.0,-0.041594308711141004,-0.041594308711141004
14,4,-4,quadrafoil_45,0.0,0.1962564301997065,0.1962564301997065
15,4,4,quadrafoil_0,0.0,0.0,0.0
16,5,-1,secondary_coma_y,0.0,0.0,0.0
17,5,1,secondary_coma_x,0.0,0.02069733974152918,0.02069733974152918
18,5,-3,secondary_trefoil_y,0.0,0.37992898363828487,0.37992898363828487
19,5,3,secondary_trefoil_x,0.0,0.0,0.0
20,5,-5,pentafoil_y,0.0,0.0,0.0
21,5,5,pentafoil_x,0.0,0.0,0.0
