zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_04_j05_astig_45
15,4,4,quadrafoil_0,0.0,-0.02229878102157128,-0.02229878102157128,sample_04_j05_astig_45
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_04_j05_astig_45
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_04_j05_astig_45
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_04_j05_astig_45
19,5,3,secondary_trefoil_x,0.0,0.022757042068554754,0.022757042068554754,sample_04_j05_astig_45
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_04_j05_astig_45
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_04_j05_astig_45
2,1,1,tilt_x,0.0,-0.5539272413736762,-0.5539272413736762,sample_05_j06_astig_0
3,1,-1,tilt_y,0.0,0.26416015084296607,0.26416015084296607,sample_05_j06_astig_0
4,2,0,defocus,0.0,0.07710911669862079,0.07710911669862079,sample_05_j06_astig_0
5,2,-2,astig_45,0.0,0.28848619960219124,0.28848619960219124,sample_05_j06_astig_0
6,2,2,astig_0,10.0,7.222559224245918,-2.7774407757540818,sample_05_j06_astig_0
7,3,-1,coma_y,0.0,0.0,0.0,sample_05_j06_astig_0
8,3,1,coma_x,0.0,0.07965873122749391,0.07965873122749391,sample_05_j06_astig_0
9,3,-3,trefoil_y,0.0,0.001199130440391171,0.001199130440391171,sample_05_j06_astig_0
10,3,3,trefoil_x,0.0,0.023479170878889184,0.023479170878889184,sample_05_j06_astig_0
11,4,0,spherical,0.0,0.05662108495674595,0.05662108495674595,sample_05_j06_astig_0
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_05_j06_astig_0
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_05_j06_astig_0
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_05_j06_astig_0
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_05_j06_astig_0
16,5,-1,secondary_coma_y,0.0,0.0164899004352152,0.0164899004352152,sample_05_j06_astig_0
17,5,1,secondary_coma_x,0.0,0.03259268089454982,0.03259268089454982,sample_05_j06_astig_0
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_05_j06_astig_0
19,5,3,secondary_trefoil_x,0.0,0.0509753167714104,0.0509753167714104,sample_05_j06_astig_0
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_05_j06_astig_0
21,5,5,pentafoil_x,0.0,0.11314766750181202,0.11314766750181202,sample_05_j06_astig_0
2,1,1,tilt_x,0.0,-0.41417320380207806,-0.41417320380207806,sample_06_j07_coma_y
3,1,-1,tilt_y,0.0,0.245157236754161,0.245157236754161,sample_06_j07_coma_y
4,2,0,defocus,0.0,0.07556782221069187,0.07556782221069187,sample_06_j07_coma_y
5,2,-2,astig_45,0.0,0.0,0.0,sample_06_j07_coma_y
6,2,2,astig_0,0.0,0.0,0.0,sample_06_j07_coma_y
7,3,-1,coma_y,10.0,7.421846475852301,-2.578153524147699,sample_06_j07_coma_y
8,3,1,coma_x,0.0,-0.10426124453918213,-0.10426124453918213,sample_06_j07_coma_y
9,3,-3,trefoil_y,0.0,0.3323537860853982,0.3323537860853982,sample_06_j07_coma_y
10,3,3,trefoil_x,0.0,0.0,0.0,sample_06_j07_coma_y
11,4,0,spherical,0.0,0.09776370651508305,0.09776370651508305,sample_06_j07_coma_y
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_06_j07_coma_y
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_06_j07_coma_y
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_06_j07_coma_y
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_06_j07_coma_y
16,5,-1,secondary_coma_y,0.0,0.007452798161355655,0.007452798161355655,sample_06_j07_coma_y
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_06_j07_coma_y
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_06_j07_coma_y
19,5,3,secondary_trefoil_x,0.0,0.01790792273260018,0.01790792273260018,sample_06_j07_coma_y
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_06_j07_coma_y
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_06_j07_coma_y
2,1,1,tilt_x,0.0,0.0,0.0,sample_07_j08_coma_x
3,1,-1,tilt_y,0.0,0.7971639901295384,0.7971639901295384,sample_07_j08_coma_x
4,2,0,defocus,0.0,0.1776575748235985,0.1776575748235985,sample_07_j08_coma_x
5,2,-2,astig_45,0.0,0.0,0.0,sample_07_j08_coma_x
6,2,2,astig_0,0.0,0.0,0.0,sample_07_j08_coma_x
7,3,-1,coma_y,0.0,0.009461070220827622,0.009461070220827622,sample_07_j08_coma_x
8,3,1,coma_x,10.0,7.8483182217186025,-2.1516817782813975,sample_07_j08_coma_x
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_07_j08_coma_x
10,3,3,trefoil_x,0.0,0.0,0.0,sample_07_j08_coma_x
11,4,0,spherical,0.0,0.27069181934414527,0.27069181934414527,sample_07_j08_coma_x
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_07_j08_coma_x
13,4,2,secondary_astig_0,0.0,0.040531339092254995,0.040531339092254995,sample_07_j08_coma_x
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_07_j08_coma_x
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_07_j08_coma_x
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_07_j08_coma_x
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_07_j08_coma_x
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_07_j08_coma_x
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_07_j08_coma_x
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_07_j08_coma_x
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_07_j08_coma_x
2,1,1,tilt_x,0.0,-0.3872355984244667,-0.3872355984244667,sample_08_j09_trefoil_y
3,1,-1,tilt_y,0.0,1.3456535441044783,1.3456535441044783,sample_08_j09_trefoil_y
4,2,0,defocus,0.0,0.0,0.0,sample_08_j09_trefoil_y
5,2,-2,astig_45,0.0,0.0,0.0,sample_08_j09_trefoil_y
6,2,2,astig_0,0.0,0.0,0.0,sample_08_j09_trefoil_y
7,3,-1,coma_y,0.0,0.0,0.0,sample_08_j09_trefoil_y
8,3,1,coma_x,0.0,0.0,0.0,sample_08_j09_trefoil_y
9,3,-3,trefoil_y,10.0,7.621794773729768,-2.3782052262702322,sample_08_j09_trefoil_y
10,3,3,trefoil_x,0.0,-0.5887129225523973,-0.5887129225523973,sample_08_j09_trefoil_y
11,4,0,spherical,0.0,0.06733571324620077,0.06733571324620077,sample_08_j09_trefoil_y
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_08_j09_trefoil_y
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_08_j09_trefoil_y
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_08_j09_trefoil_y
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_08_j09_trefoil_y
16,5,-1,secondary_coma_y,0.0,-0.09278081576934841,-0.09278081576934841,sample_08_j09_trefoil_y
17,5,1,secondary_coma_x,0.0,0.01914447927849925,0.01914447927849925,sample_08_j09_trefoil_y
18,5,-3,secondary_trefoil_y,0.0,0.04201988871494702,0.04201988871494702,sample_08_j09_trefoil_y
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_08_j09_trefoil_y
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_08_j09_trefoil_y
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_08_j09_trefoil_y
2,1,1,tilt_x,0.0,-0.13081396630199607,-0.13081396630199607,sample_09_j10_trefoil_x
3,1,-1,tilt_y,0.0,1.4322588877623337,1.4322588877623337,sample_09_j10_trefoil_x
4,2,0,defocus,0.0,0.045187077921029474,0.045187077921029474,sample_09_j10_trefoil_x
5,2,-2,astig_45,0.0,0.0,0.0,sample_09_j10_trefoil_x
6,2,2,astig_0,0.0,0.0,0.0,sample_09_j10_trefoil_x
7,3,-1,coma_y,0.0,0.0,0.0,sample_09_j10_trefoil_x
8,3,1,coma_x,0.0,0.16396473328215083,0.16396473328215083,sample_09_j10_trefoil_x
9,3,-3,trefoil_y,0.0,0.5944025694224955,0.5944025694224955,sample_09_j10_trefoil_x
10,3,3,trefoil_x,10.0,7.349479417940502,-2.6505205820594977,sample_09_j10_trefoil_x
11,4,0,spherical,0.0,0.1343590134813188,0.1343590134813188,sample_09_j10_trefoil_x
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_09_j10_trefoil_x
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_09_j10_trefoil_x
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_09_j10_trefoil_x
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_09_j10_trefoil_x
16,5,-1,secondary_coma_y,0.0,0.007175875626380661,0.007175875626380661,sample_09_j10_trefoil_x
17,5,1,secondary_coma_x,0.0,0.13301482226384698,0.13301482226384698,sample_09_j10_trefoil_x
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_09_j10_trefoil_x
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_09_j10_trefoil_x
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_09_j10_trefoil_x
21,5,5,pentafoil_x,0.0,0.16951350865820342,0.16951350865820342,sample_09_j10_trefoil_x
2,1,1,tilt_x,0.0,0.0,0.0,sample_10_j11_spherical
3,1,-1,tilt_y,0.0,0.6991679086622711,0.6991679086622711,sample_10_j11_spherical
4,2,0,defocus,0.0,0.7253110599434921,0.7253110599434921,sample_10_j11_spherical
5,2,-2,astig_45,0.0,0.0,0.0,sample_10_j11_spherical
6,2,2,astig_0,0.0,0.0,0.0,sample_10_j11_spherical
7,3,-1,coma_y,0.0,0.0,0.0,sample_10_j11_spherical
8,3,1,coma_x,0.0,0.006356662617511,0.006356662617511,sample_10_j11_spherical
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_10_j11_spherical
