zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
10,3,3,trefoil_x,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
11,4,0,spherical,0.0,0.32650760939075546,0.32650760939075546,sample_04_j17_secondary_coma_x
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
16,5,-1,secondary_coma_y,0.0,0.1480551448067125,0.1480551448067125,sample_04_j17_secondary_coma_x
17,5,1,secondary_coma_x,10.0,7.538043855765348,-2.4619561442346516,sample_04_j17_secondary_coma_x
18,5,-3,secondary_trefoil_y,0.0,0.08536702064516055,0.08536702064516055,sample_04_j17_secondary_coma_x
19,5,3,secondary_trefoil_x,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_04_j17_secondary_coma_x
2,1,1,tilt_x,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
3,1,-1,tilt_y,0.0,1.7944214210099831,1.7944214210099831,sample_05_j19_secondary_trefoil_x
4,2,0,defocus,0.0,0.18996506509347427,0.18996506509347427,sample_05_j19_secondary_trefoil_x
5,2,-2,astig_45,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
6,2,2,astig_0,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
7,3,-1,coma_y,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
8,3,1,coma_x,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
9,3,-3,trefoil_y,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
10,3,3,trefoil_x,0.0,0.17042618631503906,0.17042618631503906,sample_05_j19_secondary_trefoil_x
11,4,0,spherical,0.0,0.24108216134835883,0.24108216134835883,sample_05_j19_secondary_trefoil_x
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
16,5,-1,secondary_coma_y,0.0,0.0032073558004092548,0.0032073558004092548,sample_05_j19_secondary_trefoil_x
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
18,5,-3,secondary_trefoil_y,0.0,0.6250736860440211,0.6250736860440211,sample_05_j19_secondary_trefoil_x
19,5,3,secondary_trefoil_x,10.0,7.33097075793225,-2.66902924206775,sample_05_j19_secondary_trefoil_x
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_05_j19_secondary_trefoil_x
2,1,1,tilt_x,0.0,0.0,0.0,sample_06_j21_pentafoil_x
3,1,-1,tilt_y,0.0,1.8649400183389795,1.8649400183389795,sample_06_j21_pentafoil_x
4,2,0,defocus,0.0,0.0,0.0,sample_06_j21_pentafoil_x
5,2,-2,astig_45,0.0,0.0,0.0,sample_06_j21_pentafoil_x
6,2,2,astig_0,0.0,0.0,0.0,sample_06_j21_pentafoil_x
7,3,-1,coma_y,0.0,0.0,0.0,sample_06_j21_pentafoil_x
8,3,1,coma_x,0.0,0.0,0.0,sample_06_j21_pentafoil_x
9,3,-3,trefoil_y,0.0,0.07598320308178907,0.07598320308178907,sample_06_j21_pentafoil_x
10,3,3,trefoil_x,0.0,0.0031370605218789885,0.0031370605218789885,sample_06_j21_pentafoil_x
11,4,0,spherical,0.0,0.054435880975174725,0.054435880975174725,sample_06_j21_pentafoil_x
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_06_j21_pentafoil_x
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_06_j21_pentafoil_x
14,4,-4,quadrafoil_45,0.0,0.0,0.0,sample_06_j21_pentafoil_x
15,4,4,quadrafoil_0,0.0,0.0,0.0,sample_06_j21_pentafoil_x
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_06_j21_pentafoil_x
17,5,1,secondary_coma_x,0.0,0.027826909600545426,0.027826909600545426,sample_06_j21_pentafoil_x
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_06_j21_pentafoil_x
19,5,3,secondary_trefoil_x,0.0,-0.012069357802152698,-0.012069357802152698,sample_06_j21_pentafoil_x
20,5,-5,pentafoil_y,0.0,0.8487597121928517,0.8487597121928517,sample_06_j21_pentafoil_x
21,5,5,pentafoil_x,10.0,7.697748494786437,-2.3022515052135626,sample_06_j21_pentafoil_x
