zernike_j,n,m,name,true_phase_coeff_rad,measured_phase_coeff_rad,error_phase_coeff_rad,sample
5,2,-2,astig_45,0.0,0.0,0.0,sample_04_j03+j07+j08+j10+j15+j19
6,2,2,astig_0,0.0,0.1835551494554144,0.1835551494554144,sample_04_j03+j07+j08+j10+j15+j19
7,3,-1,coma_y,6.0,4.6159393672946365,-1.3840606327053635,sample_04_j03+j07+j08+j10+j15+j19
8,3,1,coma_x,12.0,9.623796599110879,-2.3762034008891213,sample_04_j03+j07+j08+j10+j15+j19
9,3,-3,trefoil_y,0.0,0.8050850593469726,0.8050850593469726,sample_04_j03+j07+j08+j10+j15+j19
10,3,3,trefoil_x,10.0,8.32538690538683,-1.6746130946131697,sample_04_j03+j07+j08+j10+j15+j19
11,4,0,spherical,0.0,0.41472751300592015,0.41472751300592015,sample_04_j03+j07+j08+j10+j15+j19
12,4,-2,secondary_astig_45,0.0,0.0,0.0,sample_04_j03+j07+j08+j10+j15+j19
13,4,2,secondary_astig_0,0.0,0.15735764258045548,0.15735764258045548,sample_04_j03+j07+j08+j10+j15+j19
14,4,-4,quadrafoil_45,0.0,0.1015619828611232,0.1015619828611232,sample_04_j03+j07+j08+j10+j15+j19
15,4,4,quadrafoil_0,5.0,3.833452365236727,-1.166547634763273,sample_04_j03+j07+j08+j10+j15+j19
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_04_j03+j07+j08+j10+j15+j19
17,5,1,secondary_coma_x,0.0,0.043366996846649394,0.043366996846649394,sample_04_j03+j07+j08+j10+j15+j19
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_04_j03+j07+j08+j10+j15+j19
19,5,3,secondary_trefoil_x,4.0,3.197515774863952,-0.8024842251360478,sample_04_j03+j07+j08+j10+j15+j19
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_04_j03+j07+j08+j10+j15+j19
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_04_j03+j07+j08+j10+j15+j19
2,1,1,tilt_x,0.0,0.8388590929535013,0.8388590929535013,sample_05_j03+j05+j07+j08+j10+j15+j19
3,1,-1,tilt_y,8.0,7.842651588022362,-0.1573484119776376,sample_05_j03+j05+j07+j08+j10+j15+j19
4,2,0,defocus,0.0,0.257230464964251,0.257230464964251,sample_05_j03+j05+j07+j08+j10+j15+j19
5,2,-2,astig_45,4.0,2.613293000123922,-1.3867069998760782,sample_05_j03+j05+j07+j08+j10+j15+j19
6,2,2,astig_0,0.0,0.0,0.0,sample_05_j03+j05+j07+j08+j10+j15+j19
7,3,-1,coma_y,6.0,4.580833825883438,-1.4191661741165618,sample_05_j03+j05+j07+j08+j10+j15+j19
8,3,1,coma_x,12.0,9.675423618240993,-2.324576381759007,sample_05_j03+j05+j07+j08+j10+j15+j19
9,3,-3,trefoil_y,0.0,0.7214095414111452,0.7214095414111452,sample_05_j03+j05+j07+j08+j10+j15+j19
10,3,3,trefoil_x,10.0,8.275615534942657,-1.7243844650573426,sample_05_j03+j05+j07+j08+j10+j15+j19
11,4,0,spherical,0.0,0.4631624327104869,0.4631624327104869,sample_05_j03+j05+j07+j08+j10+j15+j19
12,4,-2,secondary_astig_45,0.0,-0.058465941489741165,-0.058465941489741165,sample_05_j03+j05+j07+j08+j10+j15+j19
13,4,2,secondary_astig_0,0.0,0.18785395078923314,0.18785395078923314,sample_05_j03+j05+j07+j08+j10+j15+j19
14,4,-4,quadrafoil_45,0.0,0.14599573847387706,0.14599573847387706,sample_05_j03+j05+j07+j08+j10+j15+j19
15,4,4,quadrafoil_0,5.0,3.8251874612962045,-1.1748125387037955,sample_05_j03+j05+j07+j08+j10+j15+j19
16,5,-1,secondary_coma_y,0.0,0.0,0.0,sample_05_j03+j05+j07+j08+j10+j15+j19
17,5,1,secondary_coma_x,0.0,0.16911236943033955,0.16911236943033955,sample_05_j03+j05+j07+j08+j10+j15+j19
18,5,-3,secondary_trefoil_y,0.0,0.0,0.0,sample_05_j03+j05+j07+j08+j10+j15+j19
19,5,3,secondary_trefoil_x,4.0,3.093520090933053,-0.9064799090669471,sample_05_j03+j05+j07+j08+j10+j15+j19
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_05_j03+j05+j07+j08+j10+j15+j19
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_05_j03+j05+j07+j08+j10+j15+j19
2,1,1,tilt_x,0.0,0.4599958514878345,0.4599958514878345,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
3,1,-1,tilt_y,8.0,7.266141139300113,-0.733858860699887,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
4,2,0,defocus,0.0,0.29049903103236685,0.29049903103236685,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
5,2,-2,astig_45,4.0,2.673241929722377,-1.3267580702776232,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
6,2,2,astig_0,0.0,0.0,0.0,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
7,3,-1,coma_y,6.0,4.2259106762036325,-1.7740893237963675,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
8,3,1,coma_x,12.0,9.370034633158532,-2.6299653668414678,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
9,3,-3,trefoil_y,0.0,0.5835839923812641,0.5835839923812641,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
10,3,3,trefoil_x,10.0,7.061819818695038,-2.938180181304962,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
11,4,0,spherical,0.0,0.5494403161750138,0.5494403161750138,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
12,4,-2,secondary_astig_45,9.0,6.205690210387448,-2.7943097896125524,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
13,4,2,secondary_astig_0,0.0,0.0,0.0,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
14,4,-4,quadrafoil_45,0.0,0.8239471463462842,0.8239471463462842,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
15,4,4,quadrafoil_0,5.0,3.141104537399993,-1.8588954626000072,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
16,5,-1,secondary_coma_y,0.0,-0.15252677188223815,-0.15252677188223815,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
17,5,1,secondary_coma_x,0.0,0.0,0.0,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
18,5,-3,secondary_trefoil_y,0.0,0.05836865343696687,0.05836865343696687,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
19,5,3,secondary_trefoil_x,4.0,2.3098522468428553,-1.6901477531571447,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
20,5,-5,pentafoil_y,0.0,0.0,0.0,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
21,5,5,pentafoil_x,0.0,0.0,0.0,sample_06_j03+j05+j07+j08+j10+j12+j15+j19
2,1,1,tilt_x,0.0,0.9203996891948235,0.9203996891948235,sample_07_j03+j05+j07+j08+j10+j12+j15+j17+j19
